Customer_Age,Customer_AnnualIncome,Customer_AccountBalance,Customer_CreditScore,Customer_Tenure,Customer_City,Customer_Segment,Customer_Channel,Customer_CustomerJoinDate,Customer_Active,Customer_RiskLevel,Customer_MonthlySpend,Customer_Transactions,Customer_SatisfactionScore,Income_Lakhs,MonthlyIncome,Income_After_Spending,Balance_Income_Ratio
55.0,44033.0,111350.85,772,3,Bangalore,SME,Agent,2022-08-15,Yes,Low,23066.19,135,3.1,0.44033,3669.4166666666665,-19396.77333333333,2.5288045329639135
32.0,215546.0,254378.37,374,8,Delhi,Retail,Agent,2025-01-11,Yes,High,24625.17,106,8.2,2.15546,17962.166666666668,-6663.00333333333,1.1801581564955972
23.0,226403.0,159975.42,668,12,Chennai,Premium,Agent,2024-08-01,No,Medium,28536.34,146,6.3,2.26403,18866.916666666668,-9669.423333333332,0.7065958489949339
66.0,87824.0,295741.6,315,14,Mumbai,Premium,Agent,2021-05-15,Yes,High,12869.71,115,9.7,0.87824,7318.666666666667,-5551.043333333332,3.3674348697394785
67.0,31570.0,242423.78,370,4,Bangalore,Retail,Agent,2026-02-03,No,High,34163.02,94,3.7,0.3157,2630.8333333333335,-31532.186666666665,7.6789287298067785
68.0,37087.0,180084.44,738,1,Chennai,Premium,Agent,2023-06-04,Yes,Low,15121.16,6,8.5,0.37087,3090.5833333333335,-12030.576666666666,4.855729500903282
47.0,67229.0,99629.81,464,4,Chennai,Retail,Online,2024-01-16,Yes,High,17655.61,31,2.8,0.67229,5602.416666666667,-12053.193333333333,1.4819469276651445
65.0,139914.0,61030.94,554,15,Kolkata,SME,Agent,2024-06-26,Yes,Medium,1720.85,139,9.7,1.39914,11659.5,9938.65,0.43620323913261005
63.0,153267.0,221707.97,508,5,Hyderabad,Premium,Mobile,2025-03-12,Yes,High,38043.07,76,7.1,1.53267,12772.25,-25270.82,1.4465473324329439
42.0,139914.0,41126.84,556,3,Kolkata,Corporate,Mobile,2021-10-07,Yes,Medium,11472.36,124,9.1,1.39914,11659.5,187.13999999999942,0.29394370827794214
47.0,178741.0,22931.96,341,1,Hyderabad,Retail,Mobile,2023-03-02,Yes,High,24625.17,78,5.6,1.78741,14895.083333333334,-9730.086666666664,0.12829714503107847
25.0,93673.0,65086.87,477,13,Bangalore,Premium,Online,2025-11-22,Yes,High,24777.75,56,8.1,0.93673,7806.083333333333,-16971.666666666668,0.694830634227579
66.0,108309.0,216944.85,643,10,Chennai,Corporate,Mobile,2021-06-25,No,Medium,9746.99,15,3.9,1.08309,9025.75,-721.2399999999998,2.0030177547572223
22.0,106816.0,70169.08,542,4,Kolkata,Premium,Mobile,2025-11-19,Yes,High,32337.34,66,3.1,1.06816,8901.333333333334,-23436.006666666668,0.656915443379269
52.0,139914.0,119810.62,443,13,Unknown,Premium,Branch,2025-08-26,Yes,High,48482.81,18,9.1,1.39914,11659.5,-36823.31,0.8563161656446102
45.0,53671.0,290179.08,693,4,Pune,SME,Agent,2024-05-05,No,Medium,49870.37,31,4.4,0.53671,4472.583333333333,-45397.78666666667,5.406627042536939
27.0,192132.0,193980.13,746,12,Kolkata,SME,Agent,2022-01-07,No,Low,7111.13,110,9.1,1.92132,16011.0,8899.869999999999,1.0096190639768492
53.0,108186.0,31442.42,314,0,Hyderabad,Corporate,Mobile,2022-05-25,No,High,24056.68,121,9.2,1.08186,9015.5,-15041.18,0.29063298393507475
